# Метеостанция Нижний Новгород / им. В. П. Чкалова (аэропорт), Россия, METAR=UWGG, выборка с 01.05.2020 по 01.06.2020, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/metar.php?metar=UWGG&lang=ru
#
"Местное время в Нижнем Новгороде / им. В. П. Чкалова (аэропорт)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"01.06.2020 23:30";"11.0";"755.7";"762.8";"77";"Ветер, дующий с востоко-северо-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"01.06.2020 23:00";"11.0";"755.7";"762.8";"72";"Ветер, дующий с востоко-северо-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"01.06.2020 22:30";"11.0";"755.7";"762.8";"77";"Ветер, дующий с востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"01.06.2020 22:00";"11.0";"754.9";"762.0";"77";"Ветер, дующий с северо-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"01.06.2020 21:30";"11.0";"754.9";"762.0";"77";"Ветер, дующий с востоко-северо-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"01.06.2020 21:00";"11.0";"754.9";"762.0";"77";"Ветер, дующий с востоко-северо-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"01.06.2020 20:30";"12.0";"754.9";"762.0";"72";"Ветер, дующий с востоко-северо-востока";"3";"";"";"";"Рассеянная (40-50%) 1200 м";"10.0 и более";"7.0";
"01.06.2020 20:00";"12.0";"754.9";"762.0";"72";"Ветер, дующий с востоко-северо-востока";"3";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"7.0";
"01.06.2020 19:30";"12.0";"754.9";"762.0";"72";"Ветер, дующий с востоко-северо-востока";"2";"";"";"";"Разорванная (60-90%) 1200 м, кучево-дождевые облака";"10.0 и более";"7.0";
"01.06.2020 19:00";"12.0";"754.1";"761.2";"72";"Ветер, дующий с востока";"3";"";"";"";"Разорванная (60-90%) 1200 м, кучево-дождевые облака";"10.0 и более";"7.0";
